Arrondissement,Average Monthly Rent (â‚¬)
2nd arrondissement,1882.9999999999998
6th arrondissement,1853.0
7th arrondissement,1807.9999999999998
4th arrondissement,1787.0
3rd arrondissement,1755.5
8th arrondissement,1716.5
5th arrondissement,1671.5
9th arrondissement,1652.0
1st arrondissement,1640.5
16th arrondissement,1608.5
17th arrondissement,1561.0
11th arrondissement,1553.5
15th arrondissement,1515.0
14th arrondissement,1512.0
10th arrondissement,1495.0
13th arrondissement,1482.0
18th arrondissement,1473.5
12th arrondissement,1455.0
19th arrondissement,1426.5
20th arrondissement,1394.0
